"species","island","bill_length_mm","body_mass_g"
"Chinstrap","Dream",46.5,3500
"Chinstrap","Dream",50,3900
"Chinstrap","Dream",51.3,3650
"Chinstrap","Dream",45.4,3525
"Chinstrap","Dream",52.7,3725
"Chinstrap","Dream",45.2,3950
"Chinstrap","Dream",46.1,3250
"Chinstrap","Dream",51.3,3750
"Chinstrap","Dream",46,4150
"Chinstrap","Dream",51.3,3700
"Chinstrap","Dream",46.6,3800
"Chinstrap","Dream",51.7,3775
"Chinstrap","Dream",47,3700
"Chinstrap","Dream",52,4050
"Chinstrap","Dream",45.9,3575
"Chinstrap","Dream",50.5,4050
"Chinstrap","Dream",50.3,3300
"Chinstrap","Dream",58,3700
"Chinstrap","Dream",46.4,3450
"Chinstrap","Dream",49.2,4400
"Chinstrap","Dream",42.4,3600
"Chinstrap","Dream",48.5,3400
"Chinstrap","Dream",43.2,2900
"Chinstrap","Dream",50.6,3800
"Chinstrap","Dream",46.7,3300
"Chinstrap","Dream",52,4150
"Chinstrap","Dream",50.5,3400
"Chinstrap","Dream",49.5,3800
"Chinstrap","Dream",46.4,3700
"Chinstrap","Dream",52.8,4550
"Chinstrap","Dream",40.9,3200
"Chinstrap","Dream",54.2,4300
"Chinstrap","Dream",42.5,3350
"Chinstrap","Dream",51,4100
"Chinstrap","Dream",49.7,3600
"Chinstrap","Dream",47.5,3900
"Chinstrap","Dream",47.6,3850
"Chinstrap","Dream",52,4800
"Chinstrap","Dream",46.9,2700
"Chinstrap","Dream",53.5,4500
"Chinstrap","Dream",49,3950
"Chinstrap","Dream",46.2,3650
"Chinstrap","Dream",50.9,3550
"Chinstrap","Dream",45.5,3500
"Chinstrap","Dream",50.9,3675
"Chinstrap","Dream",50.8,4450
"Chinstrap","Dream",50.1,3400
"Chinstrap","Dream",49,4300
"Chinstrap","Dream",51.5,3250
"Chinstrap","Dream",49.8,3675
"Chinstrap","Dream",48.1,3325
"Chinstrap","Dream",51.4,3950
"Chinstrap","Dream",45.7,3600
"Chinstrap","Dream",50.7,4050
"Chinstrap","Dream",42.5,3350
"Chinstrap","Dream",52.2,3450
"Chinstrap","Dream",45.2,3250
"Chinstrap","Dream",49.3,4050
"Chinstrap","Dream",50.2,3800
"Chinstrap","Dream",45.6,3525
"Chinstrap","Dream",51.9,3950
"Chinstrap","Dream",46.8,3650
"Chinstrap","Dream",45.7,3650
"Chinstrap","Dream",55.8,4000
"Chinstrap","Dream",43.5,3400
"Chinstrap","Dream",49.6,3775
"Chinstrap","Dream",50.8,4100
"Chinstrap","Dream",50.2,3775
